term,exchange,diff,cum,TRF_payoff,EKI_payoff,TRF_payoff_cum,EKI_payoff_cum
1,7.173168063381042,0.006831936618957535,0.006831936618957535,6831.936618957535,6831.936618957535,6831.936618957535,6831.936618957535
2,7.177758444945587,0.0022415550544128138,0.009073491673370349,2241.5550544128137,2241.5550544128137,9073.491673370349,9073.491673370349
3,7.182218336267845,-0.002218336267845622,0.006855155405524727,-4436.672535691244,0.0,4636.819137679105,9073.491673370349
4,7.1866931576543545,-0.006693157654354742,0.00016199775116998438,-13386.315308709485,0.0,-8749.49617103038,9073.491673370349
5,7.191334012876176,-0.011334012876176303,-0.011172015125006318,-22668.025752352605,-2668.025752351255,-31417.521923382985,6405.465921019093
6,7.195806203279085,-0.01580620327908555,-0.02697821840409187,-31612.406558171104,-11612.406558169752,-63029.92848155409,-5206.940637150659
7,7.200458868442569,-0.020458868442569056,-0.047437086846660925,-40917.73688513811,-20917.73688513676,-103947.6653666922,-26124.67752228742
8,7.2049938022629405,-0.02499380226294079,-0.07243088910960171,-49987.60452588158,-29987.60452588023,-153935.2698925738,-56112.282048167646
9,7.209504129048077,-0.02950412904807731,-0.10193501815767902,-59008.25809615462,-39008.25809615327,-212943.52798872843,-95120.54014432093
10,7.214082957093674,-0.03408295709367426,-0.13601797525135328,-68165.91418734852,-48165.91418734717,-281109.44217607693,-143286.4543316681
11,7.21866860890949,-0.03866860890949031,-0.1746865841608436,-77337.21781898061,-57337.21781897927,-358446.65999505756,-200623.67215064736
12,7.223257396557594,-0.04325739655759442,-0.217943980718438,-86514.79311518883,-66514.79311518748,-444961.4531102464,-267138.4652658348
